10,30721964,30724040
10,22292032,22292995
10,91010557,91011935
11,65149335,65150000
11,3862007,3863289
11,34937116,34938465
12,3982221,3983079
12,44152589,44153139
12,108954174,108955460
13,39611706,39612633
14,23938570,23939107
15,90436924,90438053
15,65133146,65134197
16,30968212,30969293
17,38573752,38574636
17,19880699,19881910
19,15530000,15530474
19,47776580,47778274
19,1275146,1276125
19,33462694,33463364
19,54975000,54976237
19,19496047,19496984
19,35225000,35225521
1,35658538,35659256
1,109825619,109826466
1,159750230,159750946
1,43231831,43233544
1,171750130,171750914
1,89458071,89459020
1,89458071,89459020
1,165599949,165600000
1,87793644,87795271
1,146643717,146644576
21,38639248,38640596
22,39928422,39929276
X,47420253,47420981
2,201753256,201754725
2,70141433,70142302
3,195808560,195809858
3,184080115,184081655
3,49760935,49761944
4,82392763,82393851
4,170541021,170541894
4,170541021,170541894
5,130506144,130506885
5,130506144,130506885
6,31510000,31510349
6,52150000,52150223
6,41754775,41755363
6,75994224,75995258
6,82956740,82957898
6,132833540,132834628
6,52150000,52150223
7,43622332,43623828
7,44646022,44646620
7,107383668,107385184
7,44646022,44646620
8,101964023,101965876
8,38033568,38034668
8,103250909,103252028
8,95835007,95835833
8,91013102,91013910
9,133587820,133588745
9,36400197,36401636
9,79008866,79010121
